Year,Storm_Name,Landfall_I,Landfall_ID,HURDAT_Cod,HURDAT_C_1,RMW,Month,Day,Time_UTC,Formation_,Formation1,Landfall_L,Landfall_1,Landfall_W,Landfall_P,State,SS_Categor,County_Name,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIP,FIPS,County_State_Name,,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,LF1,AL131944_2,AL131944,35,10,19,700,16.40000000000,-80.60000000000,27.20000000000,-82.50000000000,90,962,FL,2,Pinellas County,Florida,FL,12,103,12103,"Pinellas, Florida",,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,LF1,AL131944_2,AL131944,35,10,19,700,16.40000000000,-80.60000000000,27.20000000000,-82.50000000000,90,962,FL,2,Sarasota County,Florida,FL,12,115,12115,"Sarasota, Florida",,,,,,,,,,,,,,
2017,Harvey,306,LF1,AL092017,AL092017,10,8,26,300,13.00000000000,-55.00000000000,28.00000000000,-96.90000000000,115,937,TX,4,Aransas County,Texas,TX,48,007,48007,"Aransas, Texas",,,,,,,,,,,,,,
2017,Harvey,306,LF1,AL092017,AL092017,10,8,26,300,13.00000000000,-55.00000000000,28.00000000000,-96.90000000000,115,937,TX,4,Calhoun County,Texas,TX,48,057,48057,"Calhoun, Texas",,,,,,,,,,,,,,
1938,Great New England,171,LF1,AL061938,AL061938,40,9,21,2000,13.40000000000,-23.00000000000,40.70000000000,-72.90000000000,105,941,NY,3,Fairfield County,Connecticut,CT,09,001,09001,"Fairfield, Connecticut",,,,,,,,,,,,,,
1938,Great New England,171,LF1,AL061938,AL061938,40,9,21,2000,13.40000000000,-23.00000000000,40.70000000000,-72.90000000000,105,941,NY,3,New Haven County,Connecticut,CT,09,009,09009,"New Haven, Connecticut",,,,,,,,,,,,,,
1938,Great New England,171,LF1,AL061938,AL061938,40,9,21,2000,13.40000000000,-23.00000000000,40.70000000000,-72.90000000000,105,941,NY,3,Nassau County,New York,NY,36,059,36059,"Nassau, New York",,,,,,,,,,,,,,
1938,Great New England,171,LF1,AL061938,AL061938,40,9,21,2000,13.40000000000,-23.00000000000,40.70000000000,-72.90000000000,105,941,NY,3,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,9,17,0,14.00000000000,-20.00000000000,26.70000000000,-80.00000000000,125,929,FL,4,Broward County,Florida,FL,12,011,12011,"Broward, Florida",,,,,,,,,,,,,,
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,9,17,0,14.00000000000,-20.00000000000,26.70000000000,-80.00000000000,125,929,FL,4,Martin County,Florida,FL,12,085,12085,"Martin, Florida",,,,,,,,,,,,,,
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,9,17,0,14.00000000000,-20.00000000000,26.70000000000,-80.00000000000,125,929,FL,4,Palm Beach County,Florida,FL,12,099,12099,"Palm Beach, Florida",,,,,,,,,,,,,,
1960,Donna_1,218,LF1,AL051960_1,AL051960,20,9,10,700,11.10000000000,-33.10000000000,24.80000000000,-80.90000000000,125,930,FL,4,Monroe County,Florida,FL,12,087,12087,"Monroe, Florida",,,,,,,,,,,,,,
1960,Donna_2,0,LF1,AL051960_2,AL051960,20,9,10,1600,11.10000000000,-33.10000000000,25.90000000000,-81.60000000000,105,942,FL,3,Collier County,Florida,FL,12,021,12021,"Collier, Florida",,,,,,,,,,,,,,
1960,Donna_2,0,LF1,AL051960_2,AL051960,20,9,10,1600,11.10000000000,-33.10000000000,25.90000000000,-81.60000000000,105,942,FL,3,Monroe County,Florida,FL,12,087,12087,"Monroe, Florida",,,,,,,,,,,,,,
1960,Donna_3,219,LF2,AL051960_3,AL051960,50,9,12,400,11.10000000000,-33.10000000000,34.60000000000,-77.30000000000,90,958,NC,2,Brunswick County,North Carolina,NC,37,019,37019,"Brunswick, North Carolina",,,,,,,,,,,,,,
1960,Donna_3,219,LF2,AL051960_3,AL051960,50,9,12,400,11.10000000000,-33.10000000000,34.60000000000,-77.30000000000,90,958,NC,2,Carteret County,North Carolina,NC,37,031,37031,"Carteret, North Carolina",,,,,,,,,,,,,,
1960,Donna_3,219,LF2,AL051960_3,AL051960,50,9,12,400,11.10000000000,-33.10000000000,34.60000000000,-77.30000000000,90,958,NC,2,Craven County,North Carolina,NC,37,049,37049,"Craven, North Carolina",,,,,,,,,,,,,,
1960,Donna_3,219,LF2,AL051960_3,AL051960,50,9,12,400,11.10000000000,-33.10000000000,34.60000000000,-77.30000000000,90,958,NC,2,New Hanover County,North Carolina,NC,37,129,37129,"New Hanover, North Carolina",,,,,,,,,,,,,,
1960,Donna_3,219,LF2,AL051960_3,AL051960,50,9,12,400,11.10000000000,-33.10000000000,34.60000000000,-77.30000000000,90,958,NC,2,Onslow County,North Carolina,NC,37,133,37133,"Onslow, North Carolina",,,,,,,,,,,,,,
1960,Donna_3,219,LF2,AL051960_3,AL051960,50,9,12,400,11.10000000000,-33.10000000000,34.60000000000,-77.30000000000,90,958,NC,2,Pamlico County,North Carolina,NC,37,137,37137,"Pamlico, North Carolina",,,,,,,,,,,,,,
1960,Donna_3,219,LF2,AL051960_3,AL051960,50,9,12,400,11.10000000000,-33.10000000000,34.60000000000,-77.30000000000,90,958,NC,2,Pender County,North Carolina,NC,37,141,37141,"Pender, North Carolina",,,,,,,,,,,,,,
1960,Donna_4,220,LF3,AL051960_4,AL051960,50,9,12,1900,11.10000000000,-33.10000000000,40.70000000000,-72.90000000000,85,959,NY,2,Fairfield County,Connecticut,CT,09,001,09001,"Fairfield, Connecticut",,,,,,,,,,,,,,
1960,Donna_4,220,LF3,AL051960_4,AL051960,50,9,12,1900,11.10000000000,-33.10000000000,40.70000000000,-72.90000000000,85,959,NY,2,Middlesex County,Connecticut,CT,09,007,09007,"Middlesex, Connecticut",,,,,,,,,,,,,,
1960,Donna_4,220,LF3,AL051960_4,AL051960,50,9,12,1900,11.10000000000,-33.10000000000,40.70000000000,-72.90000000000,85,959,NY,2,New Haven County,Connecticut,CT,09,009,09009,"New Haven, Connecticut",,,,,,,,,,,,,,
1960,Donna_4,220,LF3,AL051960_4,AL051960,50,9,12,1900,11.10000000000,-33.10000000000,40.70000000000,-72.90000000000,85,959,NY,2,Nassau County,New York,NY,36,059,36059,"Nassau, New York",,,,,,,,,,,,,,
1960,Donna_4,220,LF3,AL051960_4,AL051960,50,9,12,1900,11.10000000000,-33.10000000000,40.70000000000,-72.90000000000,85,959,NY,2,Queens County,New York,NY,36,081,36081,"Queens, New York",,,,,,,,,,,,,,
1960,Donna_4,220,LF3,AL051960_4,AL051960,50,9,12,1900,11.10000000000,-33.10000000000,40.70000000000,-72.90000000000,85,959,NY,2,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,
2008,Ike,300,LF1,AL092008,AL092008,30,9,13,700,17.30000000000,-38.40000000000,29.30000000000,-94.70000000000,95,950,TX,2,Brazoria County,Texas,TX,48,039,48039,"Brazoria, Texas",,,,,,,,,,,,,,
2008,Ike,300,LF1,AL092008,AL092008,30,9,13,700,17.30000000000,-38.40000000000,29.30000000000,-94.70000000000,95,950,TX,2,Chambers County,Texas,TX,48,071,48071,"Chambers, Texas",,,,,,,,,,,,,,
2008,Ike,300,LF1,AL092008,AL092008,30,9,13,700,17.30000000000,-38.40000000000,29.30000000000,-94.70000000000,95,950,TX,2,Galveston County,Texas,TX,48,167,48167,"Galveston, Texas",,,,,,,,,,,,,,
2008,Ike,300,LF1,AL092008,AL092008,30,9,13,700,17.30000000000,-38.40000000000,29.30000000000,-94.70000000000,95,950,TX,2,Harris County,Texas,TX,48,201,48201,"Harris, Texas",,,,,,,,,,,,,,
2008,Ike,300,LF1,AL092008,AL092008,30,9,13,700,17.30000000000,-38.40000000000,29.30000000000,-94.70000000000,95,950,TX,2,Jefferson County,Texas,TX,48,245,48245,"Jefferson, Texas",,,,,,,,,,,,,,
1954,Hazel,209,LF1,AL141954,AL141954,20,10,15,1530,12.00000000000,-58.50000000000,33.90000000000,-78.60000000000,115,938,SC,4,Brunswick County,North Carolina,NC,37,019,37019,"Brunswick, North Carolina",,,,,,,,,,,,,,
1954,Hazel,209,LF1,AL141954,AL141954,20,10,15,1530,12.00000000000,-58.50000000000,33.90000000000,-78.60000000000,115,938,SC,4,Horry County,South Carolina,SC,45,051,45051,"Horry, South Carolina",,,,,,,,,,,,,,
2005,Wilma,296,LF1,AL252005,AL252005,25,10,24,1030,16.90000000000,-79.60000000000,25.90000000000,-81.70000000000,105,950,FL,3,Collier County,Florida,FL,12,021,12021,"Collier, Florida",,,,,,,,,,,,,,
2005,Wilma,296,LF1,AL252005,AL252005,25,10,24,1030,16.90000000000,-79.60000000000,25.90000000000,-81.70000000000,105,950,FL,3,Monroe County,Florida,FL,12,087,12087,"Monroe, Florida",,,,,,,,,,,,,,
2017,Irma_1,307,LF1,AL112017_1,AL112017,10,9,10,1300,16.20000000000,-28.30000000000,24.70000000000,-81.50000000000,115,931,FL,4,Monroe County,Florida,FL,12,087,12087,"Monroe, Florida",,,,,,,,,,,,,,
2017,Irma_2,0,LF1,AL112017_2,AL112017,15,9,10,1930,16.20000000000,-28.30000000000,25.90000000000,-81.70000000000,100,936,FL,3,Collier County,Florida,FL,12,021,12021,"Collier, Florida",,,,,,,,,,,,,,
2004,Charley_1,285,LF1,AL032004_1,AL032004,5,8,13,1945,12.90000000000,-65.30000000000,26.60000000000,-82.20000000000,130,941,FL,4,Lee County,Florida,FL,12,071,12071,"Lee, Florida",,,,,,,,,,,,,,
2004,Charley_2,286,LF2,AL032004_2,AL032004,20,8,14,1400,12.90000000000,-65.30000000000,33.00000000000,-79.40000000000,70,992,SC,1,Charleston County,South Carolina,SC,45,019,45019,"Charleston, South Carolina",,,,,,,,,,,,,,
2004,Charley_2,286,LF2,AL032004_2,AL032004,20,8,14,1400,12.90000000000,-65.30000000000,33.00000000000,-79.40000000000,70,992,SC,1,Georgetown County,South Carolina,SC,45,043,45043,"Georgetown, South Carolina",,,,,,,,,,,,,,
2004,Ivan,289,LF1,AL092004,AL092004,25,9,16,650,9.70000000000,-30.30000000000,30.20000000000,-87.90000000000,105,946,AL,3,Baldwin County,Alabama,AL,01,003,01003,"Baldwin, Alabama",,,,,,,,,,,,,,
2004,Ivan,289,LF1,AL092004,AL092004,25,9,16,650,9.70000000000,-30.30000000000,30.20000000000,-87.90000000000,105,946,AL,3,Mobile County,Alabama,AL,01,097,01097,"Mobile, Alabama",,,,,,,,,,,,,,
2004,Ivan,289,LF1,AL092004,AL092004,25,9,16,650,9.70000000000,-30.30000000000,30.20000000000,-87.90000000000,105,946,AL,3,Escambia County,Florida,FL,12,033,12033,"Escambia, Florida",,,,,,,,,,,,,,
1972,Agnes_1,240,LF1,AL021972_1,AL021972,50,6,19,1800,20.00000000000,-86.20000000000,29.90000000000,-85.40000000000,65,980,FL,1,Bay County,Florida,FL,12,005,12005,"Bay, Florida",,,,,,,,,,,,,,
1972,Agnes_1,240,LF1,AL021972_1,AL021972,50,6,19,1800,20.00000000000,-86.20000000000,29.90000000000,-85.40000000000,65,980,FL,1,Franklin County,Florida,FL,12,037,12037,"Franklin, Florida",,,,,,,,,,,,,,
1972,Agnes_1,240,LF1,AL021972_1,AL021972,50,6,19,1800,20.00000000000,-86.20000000000,29.90000000000,-85.40000000000,65,980,FL,1,Gulf County,Florida,FL,12,045,12045,"Gulf, Florida",,,,,,,,,,,,,,
1972,Agnes_1,240,LF1,AL021972_1,AL021972,50,6,19,1800,20.00000000000,-86.20000000000,29.90000000000,-85.40000000000,65,980,FL,1,Wakulla County,Florida,FL,12,129,12129,"Wakulla, Florida",,,,,,,,,,,,,,
1972,Agnes_1,240,LF1,AL021972_1,AL021972,50,6,19,1800,20.00000000000,-86.20000000000,29.90000000000,-85.40000000000,65,980,FL,1,Walton County,Florida,FL,12,131,12131,"Walton, Florida",,,,,,,,,,,,,,
1972,Agnes_2,0,LF2,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Essex County,New Jersey,NJ,34,013,34013,"Essex, New Jersey",,,,,,,,,,,,,,
1972,Agnes_2,0,LF2,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Hudson County,New Jersey,NJ,34,017,34017,"Hudson, New Jersey",,,,,,,,,,,,,,
1972,Agnes_2,0,LF2,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Middlesex County,New Jersey,NJ,34,023,34023,"Middlesex, New Jersey",,,,,,,,,,,,,,
1972,Agnes_2,0,LF2,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Monmouth County,New Jersey,NJ,34,025,34025,"Monmouth, New Jersey",,,,,,,,,,,,,,
1972,Agnes_2,0,LF2,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Ocean County,New Jersey,NJ,34,029,34029,"Ocean, New Jersey",,,,,,,,,,,,,,
1972,Agnes_2,0,LF2,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Union County,New Jersey,NJ,34,039,34039,"Union, New Jersey",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Bronx County,New York,NY,36,005,36005,"Bronx, New York",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Kings County,New York,NY,36,047,36047,"Kings, New York",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Nassau County,New York,NY,36,059,36059,"Nassau, New York",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,New York County,New York,NY,36,061,36061,"New York, New York",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Queens County,New York,NY,36,081,36081,"Queens, New York",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Richmond County,New York,NY,36,085,36085,"Richmond, New York",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,
1972,Agnes_3,0,LF3,AL021972_2,AL021972,50,6,22,2100,20.00000000000,-86.20000000000,40.60000000000,-73.70000000000,55,980,NY,1,Westchester County,New York,NY,36,119,36119,"Westchester, New York",,,,,,,,,,,,,,
1969,Camille,234,LF1,AL091969,AL091969,5,8,18,400,18.50000000000,-80.50000000000,30.30000000000,-89.40000000000,150,900,MS,5,Hancock County,Mississippi,MS,28,045,28045,"Hancock, Mississippi",,,,,,,,,,,,,,
1989,Hugo,264,LF1,AL111989,AL111989,20,9,22,400,12.50000000000,-29.20000000000,32.80000000000,-79.80000000000,120,934,SC,4,Charleston County,South Carolina,SC,45,019,45019,"Charleston, South Carolina",,,,,,,,,,,,,,
1961,Carla,222,LF1,AL031961,AL031961,20,9,11,2000,14.90000000000,-80.50000000000,28.30000000000,-96.40000000000,125,931,TX,4,Calhoun County,Texas,TX,48,057,48057,"Calhoun, Texas",,,,,,,,,,,,,,
1961,Carla,222,LF1,AL031961,AL031961,20,9,11,2000,14.90000000000,-80.50000000000,28.30000000000,-96.40000000000,125,931,TX,4,Matagorda County,Texas,TX,48,321,48321,"Matagorda, Texas",,,,,,,,,,,,,,
1949,Florida,198,LF1,AL021949,AL021949,20,8,26,2300,18.00000000000,-60.00000000000,26.60000000000,-80.00000000000,115,954,FL,4,Broward County,Florida,FL,12,011,12011,"Broward, Florida",,,,,,,,,,,,,,
1949,Florida,198,LF1,AL021949,AL021949,20,8,26,2300,18.00000000000,-60.00000000000,26.60000000000,-80.00000000000,115,954,FL,4,Palm Beach County,Florida,FL,12,099,12099,"Palm Beach, Florida",,,,,,,,,,,,,,
1947,Fort Lauderdale_1,191,LF1,AL041947_1,AL041947,15,9,16,1630,14.10000000000,-24.00000000000,26.10000000000,-80.10000000000,115,943,FL,4,Broward County,Florida,FL,12,011,12011,"Broward, Florida",,,,,,,,,,,,,,
1947,Fort Lauderdale_1,191,LF1,AL041947_1,AL041947,15,9,16,1630,14.10000000000,-24.00000000000,26.10000000000,-80.10000000000,115,943,FL,4,Miami-Dade County,Florida,FL,12,086,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,
1947,Fort Lauderdale_1,191,LF1,AL041947_1,AL041947,15,9,16,1630,14.10000000000,-24.00000000000,26.10000000000,-80.10000000000,115,943,FL,4,Palm Beach County,Florida,FL,12,099,12099,"Palm Beach, Florida",,,,,,,,,,,,,,
1947,Fort Lauderdale_2,192,LF2,AL041947_2,AL041947,25,9,19,1400,14.10000000000,-24.00000000000,29.60000000000,-89.50000000000,95,966,LA,2,Plaquemines Parish,Louisiana,LA,22,075,22075,"Plaquemines, Louisiana",,,,,,,,,,,,,,
1947,Fort Lauderdale_2,192,LF2,AL041947_2,AL041947,25,9,19,1400,14.10000000000,-24.00000000000,29.60000000000,-89.50000000000,95,966,LA,2,St. Bernard Parish,Louisiana,LA,22,087,22087,"St. Bernard, Louisiana",,,,,,,,,,,,,,
1954,Carol_1,207,LF1,AL061954_1,AL061954,20,8,31,1400,26.10000000000,-76.00000000000,40.90000000000,-72.20000000000,100,955,NY,3,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,
1954,Carol_2,0,LF1,AL061954_2,AL061954,20,8,31,1500,26.10000000000,-76.00000000000,41.30000000000,-72.00000000000,100,957,CT,3,New London County,Connecticut,CT,09,011,09011,"New London, Connecticut",,,,,,,,,,,,,,
1954,Carol_2,0,LF1,AL061954_2,AL061954,20,8,31,1500,26.10000000000,-76.00000000000,41.30000000000,-72.00000000000,100,957,CT,3,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,
1954,Carol_2,0,LF1,AL061954_2,AL061954,20,8,31,1500,26.10000000000,-76.00000000000,41.30000000000,-72.00000000000,100,957,CT,3,Washington County,Rhode Island,RI,44,009,44009,"Washington, Rhode Island",,,,,,,,,,,,,,
1965,Betsy_1,228,LF1,AL031965_1,AL031965,30,9,8,1100,17.60000000000,-62.70000000000,25.00000000000,-80.50000000000,100,952,FL,3,Collier County,Florida,FL,12,021,12021,"Collier, Florida",,,,,,,,,,,,,,
1965,Betsy_1,228,LF1,AL031965_1,AL031965,30,9,8,1100,17.60000000000,-62.70000000000,25.00000000000,-80.50000000000,100,952,FL,3,Miami-Dade County,Florida,FL,12,086,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,
1965,Betsy_1,228,LF1,AL031965_1,AL031965,30,9,8,1100,17.60000000000,-62.70000000000,25.00000000000,-80.50000000000,100,952,FL,3,Monroe County,Florida,FL,12,087,12087,"Monroe, Florida",,,,,,,,,,,,,,
1965,Betsy_2,229,LF2,AL031965_2,AL031965,30,9,10,400,17.60000000000,-62.70000000000,29.20000000000,-90.10000000000,115,946,LA,4,Jefferson Parish,Louisiana,LA,22,051,22051,"Jefferson, Louisiana",,,,,,,,,,,,,,
1965,Betsy_2,229,LF2,AL031965_2,AL031965,30,9,10,400,17.60000000000,-62.70000000000,29.20000000000,-90.10000000000,115,946,LA,4,Lafourche Parish,Louisiana,LA,22,057,22057,"Lafourche, Louisiana",,,,,,,,,,,,,,
