Year,Storm_Name,Landfall_I,HURDAT_Cod,HURDAT_C_1,RMW,Month,Day,Time_UTC,Formation_,Formation1,Landfall_L,Landfall_1,Landfall_W,Landfall_P,State,SS_Categor,County_Name,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIP,FIPS,County_State_Name,,,,,,,,,,,,,,,
1972,Agnes_1,240,AL021972_1,AL021972,50,6,19,1800,20,-86.2,29.9,-85.4,65,980,FL,1,Franklin County,Florida,FL,12,37,12037,"Franklin, Florida",,,,,,,,,,,,,,,
1972,Agnes_1,240,AL021972_1,AL021972,50,6,19,1800,20,-86.2,29.9,-85.4,65,980,FL,1,Gulf County,Florida,FL,12,45,12045,"Gulf, Florida",,,,,,,,,,,,,,,
1972,Agnes_1,240,AL021972_1,AL021972,50,6,19,1800,20,-86.2,29.9,-85.4,65,980,FL,1,Wakulla County,Florida,FL,12,129,12129,"Wakulla, Florida",,,,,,,,,,,,,,,
1972,Agnes_1,240,AL021972_1,AL021972,50,6,19,1800,20,-86.2,29.9,-85.4,65,980,FL,1,Walton County,Florida,FL,12,131,12131,"Walton, Florida",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Fairfield County,Connecticut,CT,9,1,9001,"Fairfield, Connecticut",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Essex County,New Jersey,NJ,34,13,34013,"Essex, New Jersey",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Hudson County,New Jersey,NJ,34,17,34017,"Hudson, New Jersey",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Middlesex County,New Jersey,NJ,34,23,34023,"Middlesex, New Jersey",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Monmouth County,New Jersey,NJ,34,25,34025,"Monmouth, New Jersey",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Ocean County,New Jersey,NJ,34,29,34029,"Ocean, New Jersey",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Union County,New Jersey,NJ,34,39,34039,"Union, New Jersey",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Bronx County,New York,NY,36,5,36005,"Bronx, New York",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Kings County,New York,NY,36,47,36047,"Kings, New York",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Nassau County,New York,NY,36,59,36059,"Nassau, New York",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,New York County,New York,NY,36,61,36061,"New York, New York",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Queens County,New York,NY,36,81,36081,"Queens, New York",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Richmond County,New York,NY,36,85,36085,"Richmond, New York",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,,
1972,Agnes_2,0,AL021972_2,AL021972,50,6,22,2100,20,-86.2,40.6,-73.7,55,980,NY,1,Westchester County,New York,NY,36,119,36119,"Westchester, New York",,,,,,,,,,,,,,,
1975,Eloise,242,AL131975,AL131975,20,9,23,1200,19,-65.6,30.4,-86.3,110,955,FL,3,Bay County,Florida,FL,12,5,12005,"Bay, Florida",,,,,,,,,,,,,,,
1975,Eloise,242,AL131975,AL131975,20,9,23,1200,19,-65.6,30.4,-86.3,110,955,FL,3,Okaloosa County,Florida,FL,12,91,12091,"Okaloosa, Florida",,,,,,,,,,,,,,,
1975,Eloise,242,AL131975,AL131975,20,9,23,1200,19,-65.6,30.4,-86.3,110,955,FL,3,Walton County,Florida,FL,12,131,12131,"Walton, Florida",,,,,,,,,,,,,,,
1979,Frederic,248,AL111979,AL111979,20,9,13,0,11.5,-36,30.2,-88.2,110,946,AL,3,Baldwin County,Alabama,AL,1,3,1003,"Baldwin, Alabama",,,,,,,,,,,,,,,
1979,Frederic,248,AL111979,AL111979,20,9,13,0,11.5,-36,30.2,-88.2,110,946,AL,3,Mobile County,Alabama,AL,1,97,1097,"Mobile, Alabama",,,,,,,,,,,,,,,
1979,Frederic,248,AL111979,AL111979,20,9,13,0,11.5,-36,30.2,-88.2,110,946,AL,3,Jackson County,Mississippi,MS,28,59,28059,"Jackson, Mississippi",,,,,,,,,,,,,,,
1983,Alicia,250,AL031983,AL031983,10,8,18,700,27.2,-91,29.1,-95.1,100,962,TX,3,Brazoria County,Texas,TX,48,39,48039,"Brazoria, Texas",,,,,,,,,,,,,,,
1983,Alicia,250,AL031983,AL031983,10,8,18,700,27.2,-91,29.1,-95.1,100,962,TX,3,Galveston County,Texas,TX,48,167,48167,"Galveston, Texas",,,,,,,,,,,,,,,
1989,Hugo,264,AL111989,AL111989,20,9,22,400,12.5,-29.2,32.8,-79.8,120,934,SC,4,Charleston County,South Carolina,SC,45,19,45019,"Charleston, South Carolina",,,,,,,,,,,,,,,
1992,Andrew_1,267,AL041992_1,AL041992,10,8,24,905,12.3,-42,25.5,-80.3,145,922,FL,5,Miami-Dade County,Florida,FL,12,86,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,,
1992,Andrew_2,268,AL041992_2,AL041992,20,8,26,830,12.3,-42,29.6,-91.5,100,956,LA,3,Iberia Parish,Louisiana,LA,22,45,22045,"Iberia, Louisiana",,,,,,,,,,,,,,,
1992,Andrew_2,268,AL041992_2,AL041992,20,8,26,830,12.3,-42,29.6,-91.5,100,956,LA,3,St. Mary Parish,Louisiana,LA,22,101,22101,"St. Mary, Louisiana",,,,,,,,,,,,,,,
1992,Andrew_2,268,AL041992_2,AL041992,20,8,26,830,12.3,-42,29.6,-91.5,100,956,LA,3,Terrebonne Parish,Louisiana,LA,22,109,22109,"Terrebonne, Louisiana",,,,,,,,,,,,,,,
1995,Opal,271,AL171995,AL171995,50,10,4,2200,21.1,-88.5,30.3,-87.1,100,942,FL,3,Baldwin County,Alabama,AL,1,3,1003,"Baldwin, Alabama",,,,,,,,,,,,,,,
