Storm ID,Storm Name,Base Economic Damage,LF_Date,LF_wind,LF_pressure,LF_state,LF_lat,LF_lon,2022 Updates,Reference for Update
AL101973,Delia,"18,000,000.00",9/5/1973,55,987,TX,29.04,-95.24,,
AL021974,Subtrop 1 1974,"10,000,000.00",6/25/1974,50,1000,FL,27.82,-82.76,,
AL101974,Carmen,"150,000,000.00",9/8/1974,130,937,LA,29.24,-91.16,,
AL131975,Eloise,"490,000,000.00",9/23/1975,110,957,FL,30.42,-86.25,,
AL071976,Belle,"100,000,000.00",8/10/1976,70,982,NY,40.65,-73.31,,
AL061977,Babe,"10,000,000.00",9/5/1977,65,996,LA,29.25,-91.24,,
AL041978,Amelia,"20,000,000.00",7/30/1978,45,1005,TX,26.04,-97.2,,
AL041979,Bob,"20,000,000.00",7/11/1979,65,987,LA,29.26,-90.56,,
AL061979,Claudette,"400,000,000.00",7/24/1979,45,999,TX,29.74,-93.9,,
AL121979,Elena,"10,000,000.00",9/1/1979,35,1008,TX,28.67,-95.82,,
AL091979,David,"160,000,000.00",9/3/1979,85,972,FL,27.06,-80.1,,
AL091979,David,"160,000,000.00",9/4/1979,82,970,GA,31.59,-81.2,,
AL111979,Frederic,"2,300,000,000.00",9/13/1979,115,952,AL,30.43,-88.34,,
AL041980,Allen,"300,000,000.00",8/10/1980,105,947,TX,26.19,-97.34,,
AL101981,Dennis,"25,000,000.00",8/17/1981,35,999,FL,25.3,-81.2,,
AL021982,Subtrop 1 1982,"10,000,000.00",6/18/1982,50,998,FL,28.93,-82.58,,
AL051982,Chris,"2,000,000.00",9/11/1982,55,994,LA,29.73,-93.82,,
AL031983,Alicia,"3,000,000,000.00",8/18/1983,100,962,TX,29.17,-95.14,,
AL101984,Diana,"65,000,000.00",9/13/1984,80,981,NC,33.91,-78.08,,
AL151984,Isidore,"1,000,000.00",9/27/1984,50,1000,FL,26.7,-80.02,,
AL021985,Bob,"20,000,000.00",7/25/1985,65,1003,SC,32.32,-80.53,,
AL041985,Danny,"50,000,000.00",8/15/1985,80,987,LA,29.6,-92.7,,
AL051985,Elena,"1,250,000,000.00",9/2/1985,102,959,MS,30.4,-89.2,,
AL091985,Gloria,"100,000,000.00",9/27/1985,90,942,NC,35.5,-75.5,,
AL091985,Gloria,"800,000,000.00",9/27/1985,85,962,NY,40.93,-73.18,,
AL121985,Juan,"1,500,000,000.00",10/29/1985,67,974,LA,29.5,-91.4,,
AL131985,Kate,"300,000,000.00",11/21/1985,85,967,FL,30,-85.4,,
AL021986,Bonnie,"2,000,000.00",6/26/1986,75,990,TX,29.6,-94.2,,
AL051986,Charley,"15,000,000.00",8/17/1986,65,990,NC,34.78,-76.47,,
AL031987,Unnamed,"7,400,000.00",8/10/1987,40,1009,TX,29.5,-94.5,,
AL131987,Floyd,"500,000.00",10/12/1987,65,993,FL,25.1,-80.5,,
AL021988,Beryl,"3,000,000.00",8/9/1988,45,1001,LA,29.69,-89.65,,
AL031988,Chris,"500,000.00",8/28/1988,45,1005,GA,32.13,-80.93,,
AL071988,Florence,"2,920,000.00",9/10/1988,70,984,LA,29.18,-89.33,,
AL081988,Gilbert,"50,000,000.00",9/16/1988,115,953,TX,24.11,-97.6,,
AL121988,Keith,"3,000,000.00",11/23/1988,55,995,FL,27.3,-82.6,,
AL021989,Allison,"500,000,000.00",6/26/1989,41,1002,TX,28.74,-95.7,,
AL041989,Chantal,"100,000,000.00",8/1/1989,70,985,TX,29.55,-94.35,,
AL111989,Hugo,"7,000,000,000.00",9/22/1989,120,939,SC,32.98,-79.93,,
AL141989,Jerry,"70,000,000.00",10/16/1989,75,983,TX,29.2,-95,,
AL151990,Marco,"57,000,000.00",10/11/1990,52,994,FL,27.43,-82.78,,
AL031991,Bob,"1,500,000,000.00",8/19/1991,92,966,RI,41.82,-71.11,,
AL041992,Andrew,"24,000,000,000.00",8/24/1992,145,922,FL,25.5,-80.28,,
AL041992,Andrew,"1,000,000,000.00",8/26/1992,122,955,LA,29.28,-91.34,,
AL021993,Arlene,"22,000,000.00",6/20/1993,35,1001,TX,27.12,-97.47,,
AL051993,Emily,"35,000,000.00",8/31/1993,100,961,NC,35.4,-75,,
AL011994,Alberto,"500,000,000.00",7/3/1994,55,993,FL,30.4,-86.5,,
AL031994,Beryl,"73,000,000.00",8/16/1994,50,1000,FL,30.1,-85.5,,
AL121994,Gordon,"400,000,000.00",11/16/1994,45,996,FL,26.45,-81.95,,
AL011995,Allison,"1,700,000.00",6/5/1995,60,991,FL,29.9,-84.4,,
AL041995,Dean,"500,000.00",7/31/1995,40,999,TX,29.1,-95.15,,
AL051995,Erin,"350,000,000.00",8/2/1995,75,983,FL,27.41,-80.28,,
AL051995,Erin,"350,000,000.00",8/3/1995,85,976,FL,30.38,-87.28,,
AL111995,Jerry,"40,600,000.00",8/23/1995,35,1007,FL,26.85,-80.04,,
AL171995,Opal,"4,700,000,000.00",10/4/1995,110,944,FL,30.48,-87.03,,
AL021996,Bertha,"270,000,000.00",7/12/1996,90,974,NC,34.13,-77.88,,
AL061996,Fran,"5,000,000,000.00",9/6/1996,100,954,NC,33.9,-78,,
AL101996,Josephine,"130,000,000.00",10/8/1996,60,983,FL,30,-83.9,,
AL051997,Danny,"100,000,000.00",7/19/1997,67,986,LA,30.39,-87.87,,
AL031998,Charley,"50,000,000.00",8/22/1998,60,1000,TX,27.83,-97.18,,
AL021998,Bonnie,"720,000,000.00",8/27/1998,95,963,NC,34.32,-77.74,,
AL051998,Earl,"79,000,000.00",9/3/1998,75,987,FL,30.1,-85.7,,
AL061998,Frances,"500,000,000.00",9/11/1998,50,990,TX,28.23,-96.98,,
AL071998,Georges,"680,000,000.00",9/25/1998,90,981,FL,24.44,-81.71,,
AL071998,Georges,"1,630,000,000.00",9/28/1998,90,964,MS,30.4,-88.9,,
AL131998,Mitch,"40,000,000.00",11/5/1998,55,989,FL,26.2,-81.9,,
AL031999,Bret,"60,000,000.00",8/23/1999,100,955,TX,26.93,-97.58,,
AL051999,Dennis,"157,000,000.00",9/4/1999,60,984,NC,34.8,-76.5,,
AL081999,Floyd,"6,500,000,000.00",9/16/1999,90,958,Mid Atlantic and NE USA,34.24,-77.79,States,"NOAA Technical Memorandum NWS NHC-6     THE DEADLIEST, COSTLIEST, AND MOST INTENSE UNITED   STATES TROPICAL CYCLONES FROM 1851 TO 2010 (AND   OTHER FREQUENTLY REQUESTED HURRICANE FACTS)       Eric S. Blake "
AL101999,Harvey,"15,000,000.00",9/21/1999,50,999,FL,25.9,-81.6,,
AL131999,Irene,"800,000,000.00",10/15/1999,70,987,FL,25.3,-81.1,,
AL112000,Gordon,"10,800,000.00",9/18/2000,60,993,FL,29.38,-83.17,,
AL122000,Helene,"16,000,000.00",9/22/2000,42,1006,FL,30.42,-86.66,,
AL012001,Allison,"8,500,000,000.00",6/5/2001,50,1003,TX,28.97,-95.3,,
AL032001,Barry,"30,000,000.00",8/6/2001,60,990,FL,30.4,-86.3,,
AL082001,Gabrielle,"230,000,000.00",9/14/2001,60,984,FL,27.18,-82.53,,
AL062002,Fay,"4,500,000.00",9/7/2002,50,1000,TX,28.6,-96.4,,
AL082002,Gustav,"100,000.00",9/10/2002,55,984,NC,35.25,-75.18,,
AL092002,Hanna,"20,000,000.00",9/14/2002,50,1002,MS,30.33,-88.47,,
AL102002,Isidore,"330,000,000.00",9/26/2002,55,984,LA,29.24,-90.24,,
AL132002,Lili,"860,000,000.00",10/3/2002,92,964,LA,29.62,-92.24,,
AL122002,Kyle,"5,000,000.00",10/11/2002,35,1010,SC,32.65,-79.88,,
AL032003,Bill,"50,000,000.00",6/30/2003,50,997,LA,29.2,-91,,
AL042003,Claudette,"180,000,000.00",7/15/2003,80,981,TX,28.42,-96.48,,
AL132003,Isabel,"5,500,000,000.00",9/18/2003,90,958,NC,35,-76.3,,
AL012004,Alex,"4,000,000.00",8/3/2004,85,973,NC,34.59,-76.02,,
AL032004,Charley,"16,000,000,000.00",8/13/2004,130,944,FL,26.98,-82.07,,
AL032004,Charley,"90,000,000.00",8/14/2004,70,992,SC,33,-79.4,,
AL072004,Gaston,"130,000,000.00",8/29/2004,65,985,SC,33,-79.6,,
AL062004,Frances,"9,800,000,000.00",9/5/2004,95,960,FL,27.2,-80.2,,
AL092004,Ivan,"20,500,000,000.00",9/16/2004,107,948,AL,30.36,-87.87,,
AL112004,Jeanne,"7,500,000,000.00",9/26/2004,105,951,FL,27.23,-80.3,,
AL032005,Cindy,"320,000,000.00",7/6/2005,65,991,LA,29.2,-90.1,,
AL042005,Dennis,"2,500,000,000.00",7/10/2005,110,949,FL,30.54,-87.17,,
AL122005,Katrina,"125,000,000,000.00",8/29/2005,116,922,LA,29.38,-89.6,,
AL122005,Katrina,"100,000,000.00",8/29/2005,70,984,FL,26,-80.1,,Storm Data and Unusual Weather Phenomena with Late Reports and Corrections (Report). Vol. 47. National Climatic Data Center. August 2005
AL162005,Ophelia,"70,000,000.00",9/15/2005,72,982,NC,34.48,-76.35,,
AL182005,Rita,"18,500,000,000.00",9/24/2005,100,939,LA,29.85,-93.78,,
AL252005,Wilma,"19,000,000,000.00",10/24/2005,110,950,FL,25.9,-81.7,,
AL062006,Ernesto,"500,000,000.00",8/30/2006,40,1003,FL,25.2,-80.7,,
AL092007,Humberto,"50,000,000.00",9/13/2007,80,985,TX,29.55,-94.35,,
AL042008,Dolly,"1,300,000,000.00",7/23/2008,75,968,TX,26.41,-97.46,,
AL062008,Fay,"560,000,000.00",8/19/2008,55,990,FL,25.94,-81.58,,
AL072008,Gustav,"6,000,000,000.00",9/1/2008,95,954,LA,29.2,-90.7,,
AL082008,Hanna,"160,000,000.00",9/6/2008,60,981,SC,33.8,-78.7,,
AL092008,Ike,"30,000,000,000.00",9/13/2008,95,953,TX,29.69,-94.92,,
AL012010,Alex,"10,000,000.00",7/1/2010,95,946,TX,24.2,-97.7,,
AL072010,Earl,"18,000,000.00",9/3/2010,85,957,NC,35.17,-73.9,,
AL102010,Hermine,"240,000,000.00",9/7/2010,60,991,TX,24.9,-97.2,,
AL092011,Irene,"13,500,000,000.00",8/27/2011,75,952,NC,34.77,-76.58,,
AL092012,Isaac,"2,800,000,000.00",8/29/2012,70,966,LA,29.15,-90.1,,
AL182012,Sandy,"32,800,000,000.00",10/29/2012,75,945,NY,39.4,-74.4,Damage and States,"Aerts, J. C. et al. 6. Economic and direct losses from Hurricane Sandy. Ann. N. Y. Acad. Sci. 1294, 81?104 (2013)."
AL182012,Sandy,"29,500,000,000.00",,,,NJ,NA,NA,Damage and States,"Aerts, J. C. et al. 6. Economic and direct losses from Hurricane Sandy. Ann. N. Y. Acad. Sci. 1294, 81?104 (2013)."
AL182012,Sandy,"360,000,000.00",,,,CT,NA,NA,Damage and States,"Aerts, J. C. et al. 6. Economic and direct losses from Hurricane Sandy. Ann. N. Y. Acad. Sci. 1294, 81?104 (2013)."
AL012014,Arthur,"6,000,000.00",7/4/2014,85,973,NC,34.75,-76.55,,
AL092016,Hermine,"550,000,000.00",9/2/2016,70,981,FL,30.1,-84.1,,
AL142016,Matthew,"10,000,000,000.00",10/8/2016,80,966,SC,32.92,-79.57,,
AL092017,Harvey,"125,000,000,000.00",8/26/2017,115,946,TX,28.17,-97.07,,
AL112017,Irma,"50,000,000,000.00",9/10/2017,100,937,FL,26,-81.7,,
AL162017,Nate,"225,000,000.00",10/8/2017,69,984,MS,30.4,-88.95,,
AL142018,Michael,"18,400,000,000.00",,,,FL,,,Damage and States,NCEI
AL142018,Michael,"4,700,000,000.00",N/A,N/A,N/A,GA,N/A,N/A,Damage and States,NCEI
AL142018,Michael,"1,100,000,000.00",N/A,N/A,N/A,AL,N/A,N/A,Damage and States,NCEI
AL062018,Florence,"24,000,000,000.00",,,,NC,,,Damage and States,
AL132020,Laura,"17,500,000,000.00",,,,LA,,,Damage and States,NCEI
AL132020,Laura,"975,000,000.00",N/A,N/A,N/A,TX,N/A,N/A,Damage and States,NCEI
AL132020,Laura,"215,000,000.00",N/A,N/A,N/A,AR,N/A,N/A,Damage and States,NCEI
AL132020,Laura,"210,000,000.00",N/A,N/A,N/A,TN,N/A,N/A,Damage and States,NCEI
AL132020,Laura,"50,000,000.00",N/A,N/A,N/A,MS,N/A,N/A,Damage and States,NCEI
AL192020,Sally,"7,300,000,000.00",,,,AL FL,,,Damage and States,NCEI
AL092021,Ida,"55,000,000,000.00",,,,LA,,,Damage and States,NCEI
AL092021,Ida,"9,000,000,000.00",N/A,N/A,N/A,NJ,N/A,N/A,Damage and States,NCEI
AL092021,Ida,"3,000,000,000.00",N/A,N/A,N/A,PA,N/A,N/A,Damage and States,NCEI
AL092021,Ida,"8,000,000,000.00",N/A,N/A,N/A,NY,N/A,N/A,Damage and States,NCEI
AL092022,Ian,"109,500,000,000.00",,,,FL,,,Damage and States,NCEI
AL092022,Ian,"3,400,000,000.00",N/A,N/A,N/A,"SC, NC, VA",N/A,N/A,Damage and States,NCEI
